Name,Company directorships and controlling interests,Other companies and business entities,Employment,Beneficial interests in and trusteeships of trusts,Organisations and trusts seeking Government funding,Real property,Retirement schemes,Managed investment schemes,Debts owed to you,Debts owed by you,Overseas travel costs,Gifts,null,Payment for activities
Liz Craig,"","","","","","Family home - Invercargill|Farmlet (includes house) - South Otago|Conservation block (land) - Coromandel","AMP KiwiSaver|UniSaver New Zealand|UniSuper (an Australian university superannuation scheme)","","Kiwibank - term deposits / savings","","","","","Gift voucher for speaking at Southland Tramping Club (donated to Jubilee Budget Advisory Service) - Southland Tramping Club"
Marama Davidson,"","","","","","","Booster KiwiSaver","","","","","","",""
Kelvin Davis,"","","","","","Family home - Kaitāia","ASB KiwiSaver","","","","","Assortment of beverages for the Māori Labour caucus Budget function - Spirits|New Zealand","",""
Jacqui Dean,"","","","Dean Family Trust (trustee and beneficiary)","","Rented property (owned by superannuation scheme) - Ōāmaru|Apartment (owned by superannuation scheme) - Wellington|Commercial office (owned by trust) - Ōāmaru|Apartment - Waikawa|Apartment (owned by trust) - Ōāmaru","Edzell Superannuation Scheme|Westpac KiwiSaver","","","Westpac Bank - mortgage","","","",""
Matt Doocey,"","","","Doocey Family Trust (beneficiary)|Doocey Kalmar Family Trust (trustee and beneficiary)","","Family home (owned by trust) - Rangiora, Waimakariri|Residential property (owned by trust) - Merivale, Christchurch|Rental property (owned by trust) - Burnside, Christchurch","AMP KiwiSaver","","","","","","",""
Paul Eagle,"","","","","Tapu Te Ranga Marae Trust, Island Bay, Wellington - supporting people in need","Family home (jointly owned) - Wellington|Rental property (jointly owned) - Wellington","ANZ KiwiSaver","","","ANZ Bank - home mortgage","","","",""
Barbara Edmonds,"","","","","","Family home (jointly owned) - Porirua|Family home (jointly owned) - Auckland","","","","ANZ Bank - mortgage","","","",""
Julie Anne Genter,"","","","","","Family home (jointly owned) - Rongotai electorate, Wellington","Simplicity KiwiSaver|Roth IRA retirement savings account in the USA (invested with Interactive Brokers)","","","Kiwibank - home mortgages (jointly held)","","","",""
Golriz Ghahraman,"","","","","","Home - Auckland","Booster KiwiSaver","","","ASB Bank - home mortgage","","","",""
Paul Goldsmith,"","","","Goldsmith & Wilson Family Trust (trustee and beneficiary)","","Family home (owned by family trust) - Remuera|House (half share) - Waitakere Ranges","Simplicity KiwiSaver|Craigs Investment Partners Superannuation Scheme","","Goldsmith & Wilson Family Trust - loans repayable on demand*","","","","","Payment for writing - Cliff Cook|Book royalties - Penguin Random House|Payment for books published in New Zealand - NZ Authors' Fund, Creative NZ"
Nicola Grigg,"NG Property (2017) - rental property","","","","","Home - Prebbleton|Rental property - Rolleston","Forsyth Barr KiwiSaver","Private Wealth Fund - Forsyth Barr","","Bank of New Zealand - home loan","","","",""
Shanan Halbert,"","","","","Birkdale BeachHaven Community Project - community facilities, COVID-19 response","Family home (jointly owned) - Birkenhead, Auckland","ASB KiwiSaver","","","","","","",""
Peeni Henare,"","","","Ngāti Hine Forestry Trust (beneficiary)","Waitangi National Trust Board - manage day-to-day operations of the Treaty|grounds and wider estate","","ANZ Superannuation Scheme","","","","","","",""
Emily Henderson,"","","","Henderson-Biss Family Trust (trustee and beneficiary)","","Family home (jointly owned) - Maungatapere, Whangārei","KiwiSaver: Super Life Age Steps - Smartshares Limited|Superannuation: QuayStreet Socially Responsible Investment Fund","","","Westpac Bank - mortgage and overdraft","","","",""
Harete Hipango,"","","","Tii Kahu Family Trust (beneficiary)|Atihau Whanganui Incorporation (beneficiary)|Morikaunui Incorporation (beneficiary)","","Family home (jointly owned) - Whanganui","Booster KiwiSaver","","","ASB Bank - home mortgage, personal loan|Bank of New Zealand - personal loan","","","",""
Chris Hipkins,"","","","C.J. Hipkins Family Trust (trustee and beneficiary)","","Family home (jointly owned) - Upper Hutt|Residential property (owned by superannuation trust) - Raumati South,|Paraparaumu|Family home (jointly owned) - Upper Hutt","AMP KiwiSaver|AMP State Sector Retirement Savings Scheme|Forest Road Superannuation Trust","","","Westpac Bank - mortgages (x4)","","","",""
Willie Jackson,"Wakatere Limited - whānau programme productions|Ngā Whare Waatea Marae Incorporated - non-commercial urban marae","","","Wakatere Family Trust (trustee and beneficiary)","","Family home (x2; jointly owned) - Māngere Bridge, Auckland|Family home (jointly owned) - Rotorua|Apartment (jointly owned) - Wellington","Westpac Superannuation Fund|IRIS SuperLife","","","ASB Bank - mortgage","","","",""
Anahila Kanongata'a,"","","","","Letiō Tonga o Aotearoa (Radio Tonga of Aotearoa) - Tongan language radio|Fonu Moe Moa Aotearoa Society Incorporated - social services non-governmental|organisation|Aotearoa Tongan Response Group Incorporated - social services non-|governmental organisation","Family home (jointly owned) - Onehunga, Auckland|Rental property (jointly owned) - Tōtara Heights, Auckland","Bank of New Zealand KiwiSaver","","","Select Bluestone Finance - mortgage","","Tonga vs New Zealand Rugby League VIP tickets (x2) - New Zealand Rugby|League|Moana Pasifika vs Brumbies Rugby Union VIP tickets (x2) - Moana Pasifika|Rugby","","MC at the Tonga vs New Zealand Rugby League game - payment was donated|and paid directly from NZ Rugby League to the Mate Ma'a Tonga NZ Rugby|League Incorporated|Speaking engagement (donated and paid to Team Hofoa Lova Tika) - Aotearoa|Tongan Health Workers Association"
Elizabeth Kerekere,"","","","Tīwhanawhana Trust (trustee)|Manaakitanga Homes Trust (trustee)","","Family home - Gisborne","Kiwi Wealth KiwiSaver","","","Kiwibank - mortgage","","","",""
Barbara Kuriger,"Taranaki Growth Spurt Limited (not trading) - operated gym franchise|Shortland Farm Management Limited - general partner for limited liability|partnership|Monster Ernie Farm Management Limited - general partner for limited liability|partnership|Kuriger Trustees Limited - trustee company","Greenplan (Wild Boar) 1999 Forestry Partnership - forestry venture|Fonterra Limited - dairy processing|Livestock Improvement Limited - bovine genetics|Shortland Farm Limited Partnership - dairy farm business|Shortland Farm No 2 Limited Partnership - dairy farm business|Oxbow Dairies Limited - dairy farm business|Ravensdown - fertiliser and animal health products","","B J Kuriger Family Trust (trustee)|L S Kuriger Family Trust (beneficiary)|L S & B J Kuriger Family Trusts Partnership (trustee; both above trusts are|partners in this entity)","","Family home (owned by L S & B J Kuriger Family Trusts Partnership) - New|Plymouth|Family home (owned by L S & B J Kuriger Family Trusts Partnership) - Te|Awamutu|Dairy farm (owned by Shortland Farm Limited Partnership) - Ōpunake|Dairy farm (owned by Shortland Farm No 2 Limited Partnership) - Ōpunake|Dairy farm grazing unit (joint leasehold interest) - Ōpunake|Apartment (owned by L S & B J Kuriger Family Trusts Partnership) - Wellington","Kiwi Wealth KiwiSaver","","L S & B J Kuriger Family Trusts Partnership - loan account owing via trusts|partnership*|Taranaki Growth Spurt Limited - loan account*","ANZ Bank - mortgage","","","",""
Ingrid Leary,"Pasifika Pix & Films Limited - video film production","","","Ingrid Leary Family Trust (trustee)","","Family home - Kew, Dunedin|Rental property - South Dunedin","Simplicity KiwiSaver","","","","USA - for a conference. Contributor to travel and accommodation: IPAC Global|Limited.","","",""
