Title,Subtitle,DateTime
VISITORS,Wales—Senedd Cymru,2023-03-29 14:00:18
POINTS OF ORDER,"Urgent Debate Declined—Hon Stuart Nash, Removal as Minister",2023-03-29 14:51:16
VOTING,Correction—Child Support (Pass On) Acts Amendment Bill,2023-03-29 23:35:19
VISITORS,Commonwealth Parliamentary Association—Secretary-General,2023-03-28 14:01:02
VISITORS,"Ireland, Republic of—Minister of Agriculture",2023-03-16 14:04:38
POINTS OF ORDER,Standing Order 267—Relating to Severe Weather Emergency Legislation Bill,2023-03-15 14:47:38
URGENT DEBATES DECLINED,Ministerial Resignation—Minister of Police,2023-03-15 14:53:45
VOTING,Correction—Criminal Proceeds (Recovery) Amendment Bill,2023-03-14 19:26:03
SPEAKER'S RULINGS,Ministerial Responsibility—Clarification,2023-03-09 14:01:21
POINTS OF ORDER,House Bells—Failure to Ring,2023-03-09 14:03:22
URGENT DEBATES DECLINED,Public Sector Leaders—Code of Conduct for Crown Entity Board Members,2023-03-09 14:52:25
VISITORS,"Norway—Norwegian Parliament Committee on Education and Research, Delegation",2023-03-08 14:00:57
PARLIAMENTARY SERVICE COMMISSION,Membership,2023-03-08 19:25:22
OBITUARIES,Georgina Beyer MNZM,2023-03-07 14:01:09
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 5 to Minister, 22 February",2023-03-07 14:08:41
MOTIONS,Instruction to Committee—Leave Declined,2023-02-23 14:01:48
VISITORS,Germany—Bundestag,2023-02-22 14:00:57
VOTING,Correction—Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill (No 2),2023-02-22 21:17:40
VOTING,Correction—Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill (No 2),2023-02-22 21:23:10
VISITORS,United States—Secretary of the Interior,2023-02-21 14:02:00
RESIGNATIONS,"Rt Hon Jacinda Ardern, Mt Albert",2023-02-21 14:02:06
BY-ELECTION RESULT,Hamilton West—Tama Potaka,2023-02-14 14:01:20
MOTIONS,Türkiye and Syria Earthquake—Condolences,2023-02-14 14:03:01
MINISTERIAL STATEMENTS,Cyclone Gabrielle—Declaration of State of National Emergency,2023-02-14 14:17:57
VISITORS,United States of America—California State Senate Delegation,2022-12-14 14:01:05
PERSONAL EXPLANATIONS,Personal Reflections and Unparliamentary Language—Reflections on Members,2022-12-14 14:02:56
ADJOURNMENT,,2022-12-14 15:51:05
VOTING,Correction—Water Services Economic Efficiency and Consumer Protection Bill,2022-12-14 10:36:53
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 11 to Minister,2022-12-13 19:00:28
OFFICES OF PARLIAMENT,Address to Governor-General,2022-12-08 14:54:57
APPOINTMENTS,Judicial Conduct Commissioner,2022-12-08 14:56:04
VOTING,Correction—Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill,2022-12-08 10:57:39
VISITORS,Ireland—Oireachtas Ireland Parliamentary Friendship Group for New Zealand,2022-12-07 14:01:33
URGENT DEBATES DECLINED,Cyber-security—Incident at Ministry of Justice,2022-12-07 14:57:27
VOTING,Correction—Extended Sitting Motion,2022-12-07 16:01:16
VISITORS,Vietnam—National Assembly,2022-12-06 14:01:17
VOTING,Correction—Land Transport (Clean Vehicles) Amendment Bill (No 2) ,2022-12-06 15:06:36
VOTING,Correction—COVID-19 Public Health Response (Extension of Act and Reduction of Powers) Amendment Bill,2022-11-24 17:51:47
APPOINTMENTS,Assistant Speaker,2022-11-22 14:55:14
VISITORS,Australia—Federal Minister for Home Affairs,2022-11-17 14:01:00
SPECIAL DEBATES,"Environment Committee—Emissions Budgets Published in 2022, and the First Emissions Reduction Plan",2022-11-17 15:09:45
SPEAKER'S RULINGS,"Question No. 7 to Minister, 15 November 2023—Application of the Sub Judice Rule",2022-11-16 14:01:56
VISITORS,Niue Legislation Assembly—Parliamentary Delegation,2022-11-15 14:01:05
MOTIONS,Black Ferns—Congratulations,2022-11-15 14:01:27
SPEAKER'S RULINGS,Reserved Provision—Electoral (Māori Option) Legislation Bill,2022-11-15 14:17:33
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 8 to Minister, 9 November",2022-11-15 14:21:53
SPECIAL DEBATES,Transport and Infrastructure Committee—Inquiry into congestion pricing in Auckland,2022-11-10 14:58:08
VOTING,Correction—United Kingdom Free Trade Agreement Legislation Bill,2022-11-10 10:44:35
SPEAKER'S RULINGS,Reply to Written Question—Unparliamentary Remark,2022-11-08 14:01:19
